ledger	台帳
transactions	トランザクション
World State	ワールドステート
chaincode	チェーンコード	コード	チェーン
transaction	トランザクション	トランザクションごと
example	例	許可	アクセス許可
channel	チャネル	チャネルごと
block	ブロック
participants	参加者
distributed ledger	分散台帳
as	休暇	アンカー	名前
Transaction Log	トランザクションログ
network	ネットワーク	ネットワーク構成	ネットワーク用
blockchain	ブロックチェーン	チェーン
server	サーバー
nodes	ノード
node	ノード
key	鍵	キー
root CA	ルートCA
proposed transaction	トランザクション
MSP	ローカルMSP
chapter	章
changes	変更
using	使用
part	部分
data	データ
context	コンテキスト	企業
way	方法
system	システム
state	ステート	状態
smart contract	スマートコントラクト
set	セット	責任	一連	本人確認手続き
members	メンバー
blocks	ブロック
Transactions	トランザクション
Step	ステップ
Identity	アイデンティティ	ID管理
value	値
running	実行
parties	当事者
organization	組織
key/value pairs	キー
distributed systems	分散型システム	分散システム
blockchain network	ブロックチェーンネットワーク
Ledger	台帳
Certificate Authority	認証局
user	ユーザー
use	使用
role	役割	ロール
request	リクエスト
public key	公開鍵
private key	秘密鍵
other nodes	ノード
order	順序
name	名前
logic	ロジック
ledger state	ステート
having	合意形成
enterprises	企業
distributed network	分散型ネットワーク
distributed ledger technologies	分散台帳技術
clients	クライアント
client	クライアント	クライアント層
chain of trust	信頼チェーン
ability	機能	署名機能
Lab	演習
Consensus	コンセンサス
Chaincode	チェーンコード
world	世界
upgrade	アップグレード
updating	更新
tools	ツール
state transitions	ステート遷移
smart contracts	スマートコントラクト
single point of trust	単一信頼点
simulating	シミュレーション
sets	セット
service	サービス
roles	役割
requests	リクエスト
record	記録
read	読み取り
point	時点
message	メッセージ
local MSPs	ローカルMSP
intermediate CAs	中間CA
holder	所有者
hash	ハッシュ
first	最初
distributed ledgers	分散台帳
distributed	分散	分散型	配布	分散型システム
difference	違い
decentralized	非中央集権型	非中央中堅型システム
database	データベース
correctness	正確
configuration	設定	コンフィギュレーション
concept	概念
components	コンポーネント	要素	重要	構成要素
component	コンポーネント
combination	組み合わせ
code	コード
certificates	証明書	証明
certificate	証明書	証明
centralized server	中央集権型サーバー	集中管理型サーバー
business logic	ビジネスロジック
blindly	信用
applications	アプリケーション
Public Key Infrastructure	公開鍵基盤
Distributed Ledger	分散台帳
Channels	チャネル
Authorization	認可
website	Webサイト
version	バージョン
values	値	キー
usually	通常
users	ユーザー
ultimately	最終的
typically	通常
trust anchor	トラスト
third party	第三者
support	サポート
stored procedure	ストアド
sending	送信	メッセージ送信
rights	権利	権限
rest	残り
requirements	要件
redundancy	冗長性
query transaction	queryトランザクション
public key cryptography	公開鍵暗号
protocol	プロトコル
properly deployed	正しくデプロイ
performance	パフォーマンス
parameters	パラメーター
organizations	組織
ordered	確定
need	必要
model	モデル
metadata	メタデータ
messages	メッセージ
member	メンバー
local MSP	ローカルMSP
list	リスト
ledgers	台帳	元帳
item	項目
issues	問題
issue	発行
information	情報
enterprise	企業
distributed system	分散システム
distributed ledger technology	分散台帳技術
digital certificates	デジタル証明書
diagram	図
detail	詳しく
decentralized system	非中央集権型システム
decentralized network	非中央集権型ネットワーク
cryptographic certificates	暗号証明書
creating	作成
copy	コピー
consistency	一貫性
consensus	コンセンサス
connection profile	接続プロファイル
configurations	設定
client/application	クライアント
channels	チャネル
channel setup	チャネル設定
channel MSP	チャネルMSP
change	変更
call	チェーン
browser	ブラウザ
assets	資産	アセット
architecture diagram	アーキテクチャ図
approved	承認
adding	追加	更新
activity	アクティビティ
access	アクセス	権限	管理者権限
Together	一緒
Smart Contracts	スマートコントラクト
REST Server	RESTサーバー
Once	記述	作成
Now	前ページ
Note	注記
Internet	インターネット
Examine	タイプ	コンセンサス
Docker container	Dockerコンテナ
Decentralized	非中央集権	非中央集権型	非中央集権型システム
Channel	チャネル
Centralized systems	中央集権型システム
Authentication	認証
Applications	アプリケーション
written	別々
write	書き込み	読み書き
world state	ワールドステート
whole Transaction Log	トランザクションログ
validating new blocks	新しいブロック
user IDs	ユーザーID
use cases	ユースケース	使用
upgrades	アップグレード
upgraded system	アップグレード済みシステム
update	更新
two parties	二者
trust	信頼
title registration body	所有権登録機関
tightly controlled	厳密
throughput	スループット
there	懸念	顧客	相互	問題	相互接続
theory	理論
technology	技術	テクノロジー
systems designer	システム設計者
such ordered transactions	トランザクション
submitted	送信
subgroups	コンフィギュレーション
subfolders	サブフォルダ
sub-networks	サブネットワーク
structure	構造
